cluster,n_customers,churn_rate,Total_Trans_Ct,Total_Trans_Amt,Total_Revolving_Bal,Total_Ct_Chng_Q4_Q1,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Relationship_Count
0,1234,0.160453809,58.49351702,3469.110211,1154.614263,0.711128039,2.309562399,2.576985413,26869.22771,4.065640194
1,4577,0.041293424,70.16954337,4069.646712,1229.061175,0.813657636,2.241424514,2.027965917,4633.662224,4.012235088
2,3174,0.376181474,45.77095148,2362.78891,983.2347196,0.562875236,2.540957782,3.125393825,5434.556112,4.043478261
3,1142,0.04028021,103.502627,12428.2268,1405.274956,0.721950088,2.219789842,2.174255692,13836.79072,2.097197898
